Size,BST/Insert,BST/Remove,BST/Search,DLL/Insert at the back,DLL/Insert at the front,DLL/Remove from the back,DLL/Remove from the front,DLL/Search,Hash Table/Insert,Hash Table/Remove,Hash Table/Search,SLL/Insert at the back,SLL/Insert at the front,SLL/Remove from the back,SLL/Remove from the front,SLL/Search,Vector/Insert at the back,Vector/Insert at the front,Vector/Remove from the back,Vector/Remove from the front,Vector/Search
250,121588,50496,14341,116016,86171,19736,29240,108455,489997,30798,10200,108135,70056,71123,12122,131760,71243,377080,15422,178119,136573
500,8722746,56531,14209,65954,70037,16590,30465,303340,66461,32742,10584,160555,57245,130584,12441,1597467,65839,890967,12629,476839,385932
750,184773,8252787,14882,62712,63962,17803,36922,519469,68914,38078,9550,213147,53855,199044,11166,617213,74047,1440432,12336,806774,637937
1000,95259,64918,16052,56461,58228,17795,25082,875184,64035,31258,9290,291168,50741,338387,11912,898355,50163,7842348,10249,1078456,911653
1250,91300,50717,18087,58039,53289,18835,24140,5086442,75921,29279,8747,556017,51764,657614,12366,1511594,85360,2649539,13127,1391199,1141825
1500,105287,49579,18759,54045,54739,17864,21965,3698655,55668,35238,8488,1007995,51008,1111323,11622,2163191,54711,3202917,11833,1772833,1395624
1750,93847,51571,18712,52447,57586,16673,23446,2620107,60261,38843,9035,1688523,49970,1746012,11535,8237713,47961,3796963,9540,2151393,1659918
2000,92045,51307,18585,51449,62929,16704,21544,3037167,57882,34161,9142,2313229,46128,2426285,12378,2927922,47451,4287799,10122,2392235,1915179
2250,85207,54879,19428,50100,60311,18246,20616,3610690,57830,35883,8714,2853582,45876,3034880,12834,3329430,101006,4888853,10251,2790824,2203893
2500,84662,51616,19289,49490,53933,15580,19541,3897401,93049,39161,15330,3417640,42662,3905372,12285,3917653,50160,7173179,14048,2973445,2408020
2750,92055,49505,18776,50989,52939,18379,20223,4342243,67407,43164,9323,3957784,46647,4294338,12420,4207449,45057,6214747,10952,3277423,2665910
3000,98665,51057,18334,52306,51254,18574,20347,4862802,55870,40509,9380,5335568,43444,4643720,12299,4676764,38282,12512582,12292,3964944,2948865
3250,89158,54267,18158,46720,52493,17969,19285,10647887,51437,42123,9212,4533753,44799,5006732,13096,5123490,42625,7334339,9413,4085733,3997647
3500,91058,55418,18554,49285,51316,17038,19272,5449109,54429,41751,9133,5255981,44793,5430161,15004,5550997,45492,7941604,12582,4221402,3566251
3750,87167,62085,18203,47030,75378,17248,19307,6091326,61906,43671,9333,5461819,45805,5763752,14535,6019228,46874,8693276,9415,4640797,3777935
4000,88375,57829,20546,45786,62278,17327,23821,6363597,61925,46667,11578,11049150,42588,6182392,13814,6570273,42592,9114156,20708,4983753,3964601
4250,98047,57052,20127,46469,54622,18209,19982,6626896,57829,47619,8917,6051921,42359,6599407,15549,6764823,147836,9673908,9500,5396726,4188861
4500,100824,52119,19787,50221,53995,16705,18321,7025819,56503,50344,8932,6394848,43932,6912250,14378,7199259,45421,10334220,11170,5477855,4534368
4750,103226,55763,19676,43895,52842,18086,20004,7400522,52211,61631,9041,6774942,40881,7274088,16837,7647480,43158,10997395,13542,5884152,7191193
